Real_Goal,Time,Cost,Prob,Results
0,151179332,50/50/,0.5/0.5/,0/1/
0,148109205,61/61/,0.5/0.5/,0/1/
0,110641710,50/80/,0.6429601378600831/0.3570398621399169/,0/
0,126115422,50/64/,0.5681997184824406/0.43180028151755934/,0/
0,116136011,50/115/,0.7815137744750932/0.2184862255249068/,0/
1,107831602,50/50/,0.5/0.5/,0/1/
1,119439263,61/54/,0.46822469888628865/0.5317753011137113/,1/
1,121891009,80/65/,0.44342513010268936/0.5565748698973106/,1/
1,196881287,201/53/,0.06061171333882084/0.9393882866611791/,1/
1,109178230,648/53/,1.6394987441882437E-5/0.9999836050125581/,1/
