Subject,Loc,LocO,Iteration,Sfe,Saa,Scpr,Scde,Tfe,Tb,BSH_MAV,TLAH_MAV,TLH_MAV,DA_MAV,DM_MAV,DP_MAV,BLH_RMS,BSH_ZC,BLH_ZC,TLAH_ZC,TLH_ZC,DA_ZC,DM_ZC,DP_ZC,BSH_SC,BLH_SC,DA_SC,DP_SC,Efe,dSfe,dSaa,dScpr,dTfe,dTb
10,0,5,27,5.197273372,7.02395793,0.002544311,0.000604833,18.39309042,0.121301538,3.72E-05,6.55E-06,4.04E-06,1.54E-05,4.65E-06,3.07E-06,3.24E-05,26,16,26,23,25,26,30,45,49,54,74,29.83693369,13.31728715,9.057075924,0.011059821,5.397594976,-0.372261852
10,0,5,27,7.762787763,8.088162005,0.004726894,0.000475944,18.71353646,0.210557727,3.97E-05,6.49E-06,3.67E-06,1.70E-05,6.26E-06,3.09E-06,3.52E-05,29,21,27,31,26,29,31,46,46,59,74,37.13152725,37.9197471,10.55266625,0.030948092,1.01557531,1.375927982
10,0,5,27,13.41855568,8.871594531,0.008218956,-0.000303778,18.51420738,0.391712037,2.85E-05,5.21E-06,2.85E-06,1.27E-05,7.90E-06,2.81E-06,2.55E-05,34,25,30,33,33,31,44,46,45,60,81,47.87410367,72.24951183,4.416704571,0.032100694,-4.000414729,1.653286092
10,0,5,27,22.09166187,9.043776735,0.010153689,-0.001045056,18.01367128,0.327711654,2.22E-05,4.85E-06,2.70E-06,1.65E-05,1.07E-05,2.69E-06,2.42E-05,28,22,29,33,37,37,38,45,52,53,89,56.21923358,94.58966575,1.372325318,0.008496867,-5.539948808,-1.780551234
10,0,5,27,31.36410389,9.358620899,0.009165,-0.000707833,17.57179574,0.311548058,1.74E-05,5.68E-06,3.07E-06,2.19E-05,1.40E-05,3.01E-06,2.36E-05,27,21,33,38,32,34,30,55,49,58,79,59.0852037,85.31795689,5.526959903,-0.021493551,-3.515683713,1.363670147
10,0,5,27,38.23125767,10.13911901,0.00616715,-0.000130167,17.31917965,0.734098175,1.53E-05,7.15E-06,3.92E-06,2.02E-05,1.59E-05,3.57E-06,2.70E-05,29,23,33,39,31,30,35,56,44,65,81,58.76474372,54.54500663,8.869853729,-0.034342697,-1.472003294,5.87820456
10,0,5,27,42.05920845,10.88279079,0.003154906,0.000214333,17.24463548,1.227944362,1.62E-05,6.82E-06,3.58E-06,1.86E-05,1.38E-05,3.39E-06,2.74E-05,29,25,32,39,33,37,39,51,51,61,80,58.18060979,26.71740012,4.916643199,-0.026822017,-0.333884386,4.296408971
10,0,5,37,7.391107952,6.073369374,0.000643317,-0.000130611,17.8706467,0.103164637,2.91E-05,5.93E-06,3.79E-06,1.23E-05,6.82E-06,2.64E-06,3.23E-05,31,21,28,27,21,28,32,42,30,57,88,33.3638643,14.85478171,12.86040763,0.003116968,2.924037048,1.466985286
10,0,5,37,10.52298662,7.447341893,0.001949978,-0.000278,18.0857574,0.336630569,4.00E-05,7.92E-06,4.00E-06,1.73E-05,1.17E-05,3.04E-06,4.16E-05,23,19,27,32,24,27,31,37,35,53,84,40.46669613,47.81708087,13.45204634,0.01981856,1.600343467,2.94734496
10,0,5,37,17.67059467,8.629025765,0.003938317,-0.000514778,18.22668422,0.650707186,2.91E-05,6.46E-06,3.37E-06,2.00E-05,1.45E-05,2.94E-06,3.38E-05,21,17,31,35,29,29,36,48,45,54,86,47.13866953,88.84585816,9.480014018,0.015459029,1.41373702,2.844191052
