Real_Goal,Time,Cost,Prob,Results
0,158247813,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,143597925,51/50/61/,0.3518959496397583/0.35886396080953153/0.28924008955071007/,0/1/
0,138420544,51/70/120/,0.5104066833359241/0.354186358434486/0.13540695822959/,0/
0,156170470,51/161/357/,0.8901795962544411/0.1073439988951914/0.0024764048503674676/,0/
0,146628897,51/494/1177/,0.9998004465358808/1.9955306987311588E-4/3.9424612172729435E-10/,0/
1,140785658,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,149544040,54/56/52/,0.3331751680519487/0.32083678401406124/0.34598804793399013/,0/1/2/
1,152022539,50/53/74/,0.38948273964879854/0.3672328152098724/0.243284445141329/,0/1/
1,157250230,50/58/171/,0.5133301246707536/0.43880556515118635/0.04786431017806014/,0/
1,146261413,50/58/517/,0.5391048104426148/0.46083831759089566/5.687196648952746E-5/,0/
2,133938666,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,157552341,70/53/50/,0.2580124274623045/0.3600853495930155/0.3819022229446798/,1/2/
2,151272399,100/60/50/,0.17075324151335766/0.3741037658515676/0.4551429926350748/,2/
2,149643814,289/62/50/,0.005124018254296675/0.43918438605822124/0.5556915956874822/,2/
2,145143595,972/80/50/,9.053594893872591E-9/0.35703985890742257/0.6429601320389825/,2/
0,150159383,56/51/51/,0.31231877223642546/0.3438406138817872/0.3438406138817872/,0/1/2/
0,139095938,100/68/51/,0.18462910855863662/0.34163182070478376/0.4737390707365796/,2/
0,154834919,289/74/51/,0.006223535493367428/0.38875663745154754/0.605019827055085/,2/
0,159829358,73/65/134/,0.39593042461260153/0.44695173867185234/0.15711783671554597/,1/
0,160935574,153/90/710/,0.3332757597078126/0.6659921920527779/7.320482394094377E-4/,1/
1,131684112,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,138242544,50/53/61/,0.36378700253118623/0.3430049947701209/0.2932080026986928/,0/1/
1,152924112,57/77/120/,0.4887975686040759/0.3462360775405175/0.1649663538554067/,0/
1,141926313,50/83/81/,0.48353385118635805/0.25317032959467295/0.26329581921896894/,0/
1,156849478,65/80/293/,0.5469546525081579/0.4357606695276219/0.017284677964220264/,0/
2,145092063,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,139920607,70/52/52/,0.26254746887579317/0.3687262655621035/0.3687262655621035/,1/2/
2,155322642,100/52/52/,0.16814834108232504/0.4159258294588375/0.4159258294588375/,1/2/
2,142482374,163/60/52/,0.06210215216222284/0.43362359759856944/0.5042742502392077/,2/
2,152149556,528/63/52/,6.937736524759964E-5/0.4482675624820819/0.5516630601526704/,2/
0,135194369,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,140503982,61/54/70/,0.33503335616481644/0.3805063344190444/0.28446030941613903/,1/
0,145629744,52/53/100/,0.41918460668121327/0.41134961065171494/0.16946578266707177/,0/1/
0,154625387,60/57/163/,0.44995942670996875/0.4738456111493841/0.07619496214064717/,0/1/
0,157260141,57/68/528/,0.547183147265493/0.45265416230468/1.626904298270249E-4/,0/
1,142232306,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,142666550,50/50/61/,0.3563806961381494/0.3563806961381494/0.28723860772370124/,0/1/
1,149990176,56/50/80/,0.363704903565782/0.4091123829230397/0.2271827135111783/,1/
1,149956101,100/50/201/,0.26291459946384443/0.7007992149775099/0.036286185558645545/,1/
1,148426610,277/50/648/,0.011532478914569145/0.988459529311267/7.991774163767004E-6/,1/
2,144909943,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,145028625,70/56/50/,0.2634313537057762/0.34664549195988276/0.389923154334341/,2/
2,151081059,60/58/50/,0.3070671100794068/0.3193481891539155/0.3735847007666777/,2/
2,150541675,117/97/50/,0.1612857271283865/0.23873027483755177/0.5999839980340618/,2/
2,151969625,330/71/50/,0.002476309322328925/0.3975022712089164/0.6000214194687546/,2/
0,139983351,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,139141579,51/53/56/,0.3483600802490606/0.33521600655674466/0.3164239131941947/,0/1/2/
0,152615327,56/52/70/,0.35133944047038046/0.3788818901926149/0.26977866933700456/,0/1/
0,149170825,55/56/60/,0.3451983080538877/0.3390887643986773/0.31571292754743496/,0/1/2/
0,179088469,55/56/74/,0.3711153138712555/0.36454707422953747/0.26433761189920707/,0/1/
1,136726721,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,149267483,51/50/54/,0.33753286282920664/0.34421646564068303/0.31825067153011033/,0/1/2/
1,140933106,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,154482890,77/50/59/,0.2426489117232421/0.41200165057110494/0.34534943770565296/,1/
1,170510822,186/50/120/,0.05252185795800579/0.755890172893/0.1915879691489942/,1/
2,139126946,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,147492952,70/53/50/,0.2580124274623045/0.3600853495930155/0.3819022229446798/,1/2/
2,153115535,55/63/50/,0.33808598625972/0.28900312905958103/0.3729108846806989/,0/2/
2,158876743,90/58/50/,0.19748274777709388/0.3698517345475258/0.4326655176753803/,2/
2,160460043,85/75/59/,0.2685464432177253/0.3172501370332928/0.41420341974898184/,2/
0,141078026,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,151423507,50/50/61/,0.3563806961381494/0.3563806961381494/0.28723860772370124/,0/1/
0,188211876,50/56/80/,0.4091123829230397/0.363704903565782/0.2271827135111783/,0/
0,154457227,50/55/72/,0.39120107396688814/0.3546681160331454/0.25413080999996646/,0/1/
0,143659023,50/95/151/,0.644403304780426/0.26665930665480353/0.08893738856477054/,0/
1,143948628,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,150154632,50/50/61/,0.3563806961381494/0.3563806961381494/0.28723860772370124/,0/1/
1,163494720,56/56/80/,0.3764556284419348/0.3764556284419348/0.24708874311613038/,0/1/
1,150928441,54/54/59/,0.3432768370865712/0.3432768370865712/0.3134463258268576/,0/1/2/
