Real_Goal,Cost,Prob,Results
0,0.15944108205872848/0.26404464021329466/0.5765142777279769/,0.15944108205872848/0.26404464021329466/0.5765142777279769/,2/
0,0.20619990429867394/0.29813474303966814/0.495665352661658/,0.20619990429867394/0.29813474303966814/0.495665352661658/,2/
0,0.19750475317833724/0.29245039169918147/0.5100448551224813/,0.19750475317833724/0.29245039169918147/0.5100448551224813/,2/
0,0.3581148127434275/0.35804555037958485/0.28383963687698777/,0.3581148127434275/0.35804555037958485/0.28383963687698777/,0/
0,0.5457578777649844/0.34514843598481343/0.10909368625020212/,0.5457578777649844/0.34514843598481343/0.10909368625020212/,0/
0,0.21197331863366076/0.30175535533123793/0.4862713260351012/,0.21197331863366076/0.30175535533123793/0.4862713260351012/,2/
0,0.22934905599091165/0.3119390453968808/0.4587118986122077/,0.22934905599091165/0.3119390453968808/0.4587118986122077/,2/
0,0.24898688315322176/0.3222167803724806/0.42879633647429766/,0.24898688315322176/0.3222167803724806/0.42879633647429766/,2/
0,0.3267077164854473/0.351218179401515/0.3220741041130378/,0.3267077164854473/0.351218179401515/0.3220741041130378/,1/
0,0.41581458323153947/0.36371630030612007/0.2204691164623405/,0.41581458323153947/0.36371630030612007/0.2204691164623405/,0/
0,0.209269184272791/0.3000745950010427/0.4906562207261662/,0.209269184272791/0.3000745950010427/0.4906562207261662/,2/
0,0.41227168540280773/0.36361914368280346/0.22410917091438887/,0.41227168540280773/0.36361914368280346/0.22410917091438887/,0/
0,0.5457578777649844/0.34514843598481343/0.10909368625020212/,0.5457578777649844/0.34514843598481343/0.10909368625020212/,0/
0,0.6034257025416785/0.3233151425507577/0.07325915490756384/,0.6034257025416785/0.3233151425507577/0.07325915490756384/,0/
0,0.6721620038695115/0.2867287047134389/0.041109291417049575/,0.6721620038695115/0.2867287047134389/0.041109291417049575/,0/
0,0.25777736887265806/0.3264119063122666/0.4158107248150753/,0.25777736887265806/0.3264119063122666/0.4158107248150753/,2/
