Cost,Prob,Real_Goal,Results,Time
0.4180436134338379/0.5028420090675354/0.07911435514688492/,0.4180436134338379/0.5028420090675354/0.07911435514688492/,0.0,1/,0.0004889965057373047
0.4853587746620178/0.4183247983455658/0.09631644189357758/,0.4853587746620178/0.4183247983455658/0.09631644189357758/,0.0,0/,0.0006642341613769531
0.836063027381897/0.09726032614707947/0.06667669862508774/,0.836063027381897/0.09726032614707947/0.06667669862508774/,0.0,0/,0.0008077621459960938
0.7472834587097168/0.18805965781211853/0.06465686857700348/,0.7472834587097168/0.18805965781211853/0.06465686857700348/,0.0,0/,0.0009510517120361328
0.6981858015060425/0.2164985090494156/0.0853157564997673/,0.6981858015060425/0.2164985090494156/0.0853157564997673/,0.0,0/,0.001194000244140625
0.21608345210552216/0.6522871851921082/0.13162939250469208/,0.21608345210552216/0.6522871851921082/0.13162939250469208/,1.0,1/,0.0005469322204589844
0.2267247438430786/0.6536925435066223/0.11958262324333191/,0.2267247438430786/0.6536925435066223/0.11958262324333191/,1.0,1/,0.0007240772247314453
0.7005309462547302/0.25993141531944275/0.039537593722343445/,0.7005309462547302/0.25993141531944275/0.039537593722343445/,1.0,0/,0.0009400844573974609
0.2987463176250458/0.5828646421432495/0.11838892847299576/,0.2987463176250458/0.5828646421432495/0.11838892847299576/,1.0,1/,0.0009431838989257812
0.3369821012020111/0.5605380535125732/0.10247978568077087/,0.3369821012020111/0.5605380535125732/0.10247978568077087/,1.0,1/,0.0019931793212890625
0.4028131663799286/0.5072882771492004/0.08989863097667694/,0.4028131663799286/0.5072882771492004/0.08989863097667694/,2.0,1/,0.0005619525909423828
0.44155946373939514/0.4569457471370697/0.10149483382701874/,0.44155946373939514/0.4569457471370697/0.10149483382701874/,2.0,1/,0.0007429122924804688
0.6751212477684021/0.2554858326911926/0.0693928599357605/,0.6751212477684021/0.2554858326911926/0.0693928599357605/,2.0,0/,0.0009438991546630859
0.0516328327357769/0.08713643252849579/0.861230731010437/,0.0516328327357769/0.08713643252849579/0.861230731010437/,2.0,2/,0.0010800361633300781
0.041219715029001236/0.18954350054264069/0.7692368030548096/,0.041219715029001236/0.18954350054264069/0.7692368030548096/,2.0,2/,0.001233816146850586
0.11213211715221405/0.47323670983314514/0.4146311581134796/,0.11213211715221405/0.47323670983314514/0.4146311581134796/,0.0,1/,0.0006749629974365234
0.3702166974544525/0.4473702013492584/0.18241314589977264/,0.3702166974544525/0.4473702013492584/0.18241314589977264/,0.0,1/,0.00057220458984375
0.7471964955329895/0.17662256956100464/0.07618086040019989/,0.7471964955329895/0.17662256956100464/0.07618086040019989/,0.0,0/,0.0007030963897705078
