Cost,Prob,Real_Goal,Results,Time
0.3713120222091675/0.31663644313812256/0.3120514750480652/,0.3713120222091675/0.31663644313812256/0.3120514750480652/,0.0,0/,0.00033783912658691406
0.7730451822280884/0.16068074107170105/0.06627407670021057/,0.7730451822280884/0.16068074107170105/0.06627407670021057/,0.0,0/,0.0004930496215820312
0.40415242314338684/0.40238627791404724/0.19346129894256592/,0.40415242314338684/0.40238627791404724/0.19346129894256592/,0.0,0/,0.0005450248718261719
0.30812299251556396/0.6436909437179565/0.04818606749176979/,0.30812299251556396/0.6436909437179565/0.04818606749176979/,0.0,1/,0.0005869865417480469
0.2069655954837799/0.7660906314849854/0.02694384939968586/,0.2069655954837799/0.7660906314849854/0.02694384939968586/,0.0,1/,0.0006899833679199219
0.35485905408859253/0.3757587969303131/0.26938214898109436/,0.35485905408859253/0.3757587969303131/0.26938214898109436/,1.0,1/,0.0004949569702148438
0.1522776335477829/0.3677656054496765/0.4799566864967346/,0.1522776335477829/0.3677656054496765/0.4799566864967346/,1.0,2/,0.0005309581756591797
0.18717510998249054/0.5350746512413025/0.2777501940727234/,0.18717510998249054/0.5350746512413025/0.2777501940727234/,1.0,1/,0.0005311965942382812
0.22612370550632477/0.6944494247436523/0.07942691445350647/,0.22612370550632477/0.6944494247436523/0.07942691445350647/,1.0,1/,0.0005879402160644531
0.1874816119670868/0.6857715845108032/0.1267467588186264/,0.1874816119670868/0.6857715845108032/0.1267467588186264/,1.0,1/,0.0006861686706542969
0.24247941374778748/0.5371618270874023/0.2203586995601654/,0.24247941374778748/0.5371618270874023/0.2203586995601654/,2.0,1/,0.00040411949157714844
0.04241909831762314/0.1750485599040985/0.7825323343276978/,0.04241909831762314/0.1750485599040985/0.7825323343276978/,2.0,2/,0.0004591941833496094
0.06730471551418304/0.18509626388549805/0.7475990056991577/,0.06730471551418304/0.18509626388549805/0.7475990056991577/,2.0,2/,0.0005002021789550781
0.006999007426202297/0.06757646054029465/0.9254245758056641/,0.006999007426202297/0.06757646054029465/0.9254245758056641/,2.0,2/,0.0005939006805419922
0.005235939286649227/0.1489771604537964/0.8457868695259094/,0.005235939286649227/0.1489771604537964/0.8457868695259094/,2.0,2/,0.0006587505340576172
0.15820638835430145/0.48537972569465637/0.35641393065452576/,0.15820638835430145/0.48537972569465637/0.35641393065452576/,0.0,1/,0.0004200935363769531
0.03297748416662216/0.20858633518218994/0.7584361433982849/,0.03297748416662216/0.20858633518218994/0.7584361433982849/,0.0,2/,0.0005280971527099609
0.731829822063446/0.21023476123809814/0.05793548375368118/,0.731829822063446/0.21023476123809814/0.05793548375368118/,0.0,0/,0.0006091594696044922
0.30593547224998474/0.6041471362113953/0.08991748839616776/,0.30593547224998474/0.6041471362113953/0.08991748839616776/,0.0,1/,0.0006737709045410156
0.3451031744480133/0.585336446762085/0.06956037133932114/,0.3451031744480133/0.585336446762085/0.06956037133932114/,0.0,1/,0.0008678436279296875
0.4327159821987152/0.5033102035522461/0.06397377699613571/,0.4327159821987152/0.5033102035522461/0.06397377699613571/,1.0,1/,0.0004019737243652344
0.7139299511909485/0.2827599048614502/0.0033100335858762264/,0.7139299511909485/0.2827599048614502/0.0033100335858762264/,1.0,0/,0.00048422813415527344
0.7871075868606567/0.2114940732717514/0.001398327760398388/,0.7871075868606567/0.2114940732717514/0.001398327760398388/,1.0,0/,0.0005180835723876953
0.871471643447876/0.128025084733963/0.0005032881745137274/,0.871471643447876/0.128025084733963/0.0005032881745137274/,1.0,0/,0.0006380081176757812
