Obs,Real_Goal,STime,Cost,Prob,Results
2,0,158831527/16643260/7837537/,50/50/56/,0.3461393630355498/0.3461393630355498/0.3077212739289003/,0/1/
6,0,173729664/22589187/19052260/,100/59/65/,0.20953509882154558/0.4149776215512856/0.3754872796271688/,1/2/
10,0,147577335/32751059/21118533/,81/191/142/,0.5757985879448743/0.15054988803255603/0.27365152402256987/,0/
14,0,173581348/41962604/19991405/,114/115/114/,0.33429811259813724/0.33140377480372557/0.33429811259813724/,0/1/2/
19,0,174815916/42635362/18051211/,728/1189/1181/,0.48343704019430367/0.25686431179353414/0.2596986480121622/,0/
2,1,112608072/19600003/14674286/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
6,1,171130504/33564549/23090532/,65/289/68/,0.5027300295193234/0.01687973704994757/0.4803902334307289/,0/2/
9,1,156510445/31207692/21152900/,86/96/83/,0.3419826178769627/0.3036003783710622/0.3544170037519749/,0/2/
12,1,162781705/32907573/25743943/,95/102/93/,0.33901273979576313/0.3146842018322044/0.34630305837203246/,0/1/2/
17,1,173073657/36440316/22772878/,591/387/401/,0.23128992483289817/0.391288525716996/0.37742154945010586/,1/2/
2,2,120223528/11060512/16201251/,53/56/51/,0.33521600655674466/0.3164239131941947/0.3483600802490606/,0/1/2/
6,2,136688799/9686993/21352797/,201/289/104/,0.25307476761047826/0.1094633435516365/0.6374618888378851/,2/
10,2,148650389/16423795/26990539/,105/140/95/,0.3565988702164274/0.2476529086283806/0.3957482211551921/,0/2/
14,2,145582405/15898382/27490794/,710/104/80/,2.4022103292378752E-4/0.42636068759262286/0.5733990913744533/,2/
20,2,155086038/21061127/34579805/,16657/1861/1587/,4.10566615514199E-5/0.4569519190294564/0.5430070243089921/,2/
1,0,120489432/18242451/11746359/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,132341381/15662872/11966029/,52/51/52/,0.3311897768842208/0.3376204462315584/0.3311897768842208/,0/1/2/
5,0,122836054/18875163/14203445/,65/72/56/,0.327281114922323/0.28945865242020147/0.38326023265747555/,2/
7,0,146452541/19214771/19110398/,75/75/74/,0.3318485743838835/0.3318485743838835/0.33630285123223314/,0/1/2/
9,0,149076194/23268858/13611402/,89/164/92/,0.4163519204034124/0.18094579871580466/0.40270228088078297/,0/2/
1,1,115047869/14726342/13846995/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
3,1,145679833/18975189/11344939/,61/56/56/,0.3141331700928854/0.3429334149535572/0.3429334149535572/,0/1/2/
5,1,162641889/20875909/11959297/,55/93/93/,0.496356126515159/0.25182193674242054/0.25182193674242054/,0/
7,1,178505804/23858603/18930478/,66/65/247/,0.48084300235409333/0.4881839753843867/0.030973022261520006/,0/1/
10,1,157774955/23604525/19155202/,195/191/74/,0.14135681654536594/0.1491005097926216/0.7095426736620125/,2/
2,2,112328992/17435684/16475456/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,2,119317375/13756493/18147792/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
7,2,141534382/23814316/26667675/,61/83/77/,0.40423117932343705/0.2834818870563542/0.3122869336202088/,0/
10,2,132754569/20120811/20707206/,78/131/68/,0.381702402707044/0.1770664901243489/0.4412311071686072/,2/
13,2,132891072/25718937/22199794/,90/103/80/,0.33521903011711435/0.2855137851765821/0.3792671847063035/,2/
2,0,111162201/34089674/9242303/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,0,129005880/15279153/13174869/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
6,0,138346170/24514283/16200695/,88/88/61/,0.2820308975179453/0.2820308975179453/0.4359382049641094/,2/
9,0,147679044/26583533/17069984/,73/361/168/,0.7707759036820361/0.01572899434481443/0.2134951019731495/,0/
12,0,147313724/31096708/15812988/,73/104/160/,0.5085518295633199/0.33450379264454466/0.15694437779213558/,0/
1,1,120713814/21437286/10874432/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,1,147249704/16386781/11922489/,54/50/54/,0.32450789483641307/0.35098421032717386/0.32450789483641307/,0/1/2/
5,1,140685688/13896237/19127118/,90/57/90/,0.2655027905451683/0.4689944189096635/0.2655027905451683/,1/
7,1,137731023/20926390/22845190/,57/110/58/,0.41947950347167/0.1682114067524579/0.412309089775872/,0/2/
9,1,152664031/35105593/17987011/,57/315/75/,0.573101107447367/0.006704549272422991/0.42019434328021005/,0/
1,2,113062363/21533314/10689838/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,157471909/20385856/11987695/,50/54/52/,0.3464872837837131/0.3203501916608424/0.33316252455544454/,0/1/2/
4,2,141896388/19385789/10190070/,56/65/52/,0.34220596748397175/0.28876161297914377/0.3690324195368846/,0/2/
5,2,134678409/17134284/15634526/,70/90/60/,0.34499478288317914/0.248554078699093/0.4064511384177279/,2/
7,2,147161241/18247792/12405832/,78/68/71/,0.3064918424629141/0.35429102365868426/0.3392171338784017/,1/2/
1,0,130967191/16105034/12897779/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,0,137815525/19395643/10267977/,53/56/54/,0.3415753921762628/0.3231164765746777/0.3353081312490595/,0/1/2/
4,0,139074171/15682429/14491564/,60/68/53/,0.33325445978229934/0.28736643934993095/0.3793791008677698/,2/
5,0,159532508/15366295/11153602/,58/93/57/,0.389967948019677/0.21328222215221299/0.39674982982810997/,0/2/
7,0,138090455/18913558/9091731/,58/65/63/,0.35626876565216975/0.31641079006320577/0.32732044428462453/,0/2/
1,1,117773428/15219422/11298016/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,135078326/18723040/17604031/,52/54/54/,0.34177114430251737/0.3291144278487413/0.3291144278487413/,0/1/2/
4,1,125793947/23001889/18654362/,59/65/65/,0.35591307120722027/0.3220434643963898/0.3220434643963898/,0/1/2/
5,1,145135424/20675097/19126207/,74/90/90/,0.3822960834608252/0.3088519582695874/0.3088519582695874/,0/
7,1,144437580/26018287/15998733/,61/239/57/,0.47217285510651513/0.02194149558891147/0.5058856493045735/,0/2/
1,2,124772667/15492141/12369156/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,2,121074679/32484976/13766679/,53/53/53/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,2,137391349/25254947/20590178/,56/60/55/,0.33908876439867736/0.3157129275474351/0.34519830805388774/,0/1/2/
5,2,124640201/21743287/15751668/,66/77/55/,0.3290871866389631/0.270397784092443/0.40051502926859384/,2/
7,2,148768223/16725376/21261968/,68/68/61/,0.3205617691941912/0.3205617691941912/0.3588764616116177/,2/
1,0,120689446/25829114/23389403/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,126894053/15637454/16159758/,56/52/52/,0.31677794623961325/0.3416110268801933/0.3416110268801933/,0/1/2/
5,0,131500683/22272147/11331900/,93/74/56/,0.23204689748612928/0.3238475333343201/0.4441055691795506/,2/
7,0,124813631/28583373/10615928/,81/67/69/,0.292260247969708/0.35907346967059983/0.3486662823596921/,1/2/
9,0,132175003/26032192/18049583/,95/126/83/,0.35149910205684715/0.24302383807331102/0.40547705986984184/,2/
1,1,127983723/14722293/12466382/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,250919542/24475566/38275347/,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
4,1,140728231/13600760/19699606/,80/50/56/,0.2271827135111783/0.4091123829230397/0.363704903565782/,1/
6,1,142423062/19708945/23969515/,60/74/100/,0.4321552061725604/0.3435307408073547/0.22431405302008492/,0/
8,1,142628666/18124672/20690525/,106/69/75/,0.23509183557582175/0.39883494357879223/0.36607322084538596/,1/2/
1,2,127178514/25004565/21450479/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,146239774/20981709/12867169/,54/56/50/,0.3286087694047565/0.31597155892822637/0.35541967166701705/,0/2/
4,2,123259120/20839846/10250323/,65/68/56/,0.3205362031603384/0.3041021453507509/0.3753616514889107/,2/
5,2,140492242/24345156/16416914/,90/93/70/,0.30450719090334977/0.2919087289126614/0.4035840801839889/,2/
7,2,129036229/29915727/15014357/,62/64/59/,0.3312917812077881/0.32043074474153466/0.34827747405067727/,0/1/2/
1,0,131511637/17416343/10681655/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
3,0,153877945/18773918/17242129/,51/52/51/,0.33546319335687835/0.3290736132862433/0.33546319335687835/,0/1/2/
4,0,143340007/19114246/15600892/,57/55/57/,0.32934174417283013/0.34131651165433957/0.32934174417283013/,0/1/2/
6,0,142835378/24429642/14767084/,58/56/56/,0.3255821859433239/0.337208907028338/0.337208907028338/,0/1/2/
8,0,148283688/19626384/15194585/,65/71/71/,0.3538318212133201/0.32308408939334/0.32308408939334/,0/1/2/
2,1,128768367/18437767/18984281/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,1,163130792/19891535/16188420/,56/53/65/,0.34439893189914644/0.364073666176379/0.2915274019244746/,0/1/
6,1,144308155/24998524/15693793/,100/81/141/,0.3487624280268982/0.4397024664189674/0.21153510555413443/,1/
