Obs,Real_Goal,STime,Cost,Prob,Results
2,0,101263101/21328464/10240699/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
5,0,110756974/39571541/17225578/,51/53/70/,0.37647789911809126/0.36227290397054573/0.261249196911363/,0/1/
7,0,156382581/28606138/8796607/,51/86/161/,0.6132247770701216/0.31282834741252036/0.07394687551735796/,0/
10,0,108876027/28797570/8328073/,51/70/887/,0.5903432334972024/0.4096567049871485/6.151564916919564E-8/,0/
14,0,103035014/49998562/9019069/,51/249/8613/,0.9782827594467356/0.02171724055326441/3.035341719469666E-72/,0/
48,1,107318354/29129644/22266258/,2147483647/43452/42991/,0.0/0.4973192943869833/0.5026807056130167/,1/2/
144,1,131089056/64253983/42678682/,2867379/6226244/578488/,0.01876664621265245/5.646175700766138E-5/0.98117689203034/,2/
240,1,134601364/119344061/62478743/,27126262/25740000/2147483647/,0.4865391708261664/0.5134608291738336/8.160023042826378E-37/,0/1/
336,1,153409857/140158879/89414960/,177193/177851/4614781/,0.5009283599353014/0.49907164005803906/6.6595990727378225E-12/,0/1/
479,1,167730572/220602230/146622653/,105227/98006/2722403/,0.4815887253774687/0.5184112746213143/1.2169968130676773E-12/,0/1/
2,2,112658389/23536708/10505833/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
5,2,112681450/24410034/16565927/,90/51/50/,0.1872916868934535/0.40237041990729794/0.4103378931992486/,1/2/
8,2,117461389/15602829/9825788/,66/51/50/,0.26950866904762527/0.36166494034054975/0.36882639061182504/,1/2/
11,2,133000091/19831625/7362568/,205/68/50/,0.027347997385199583/0.4013836946126559/0.5712683080021446/,2/
15,2,123300201/31373336/14819427/,1758/101/72/,5.5757674763154634E-11/0.40197076609516225/0.5980292338490801/,2/
2,0,100970822/34605978/7078441/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
6,0,107872214/39647472/9322069/,56/50/88/,0.3761097839223707/0.42306597582982686/0.20082424024780254/,1/
9,0,111235797/54609126/11527468/,72/88/135/,0.4494245896997552/0.360968245837633/0.18960716446261183/,0/
13,0,119821673/45617530/11222435/,73/767/1006/,0.9999121307659253/8.452474286664722E-5/3.3444912079399168E-6/,0/
18,0,107121637/53527642/10013068/,73/12419/14235/,1.0/3.493394678561433E-73/7.681151210460172E-84/,0/
3,1,94942349/38453206/10093838/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
8,1,108846168/46515025/10974322/,108/84/56/,0.19945908840651488/0.30388877909844436/0.4966521324950408/,2/
12,1,113262516/53763510/12828741/,824/543/115/,0.0021572904068776523/0.02431921518124178/0.9735234944118806/,2/
17,1,109388720/66216766/11709312/,12419/218/80/,5.886449805420746E-67/0.15398215890614783/0.8460178410938523/,2/
24,1,110411518/64125070/17397589/,428638/170/3074/,0.0/0.9999999578679112/4.213208879282641E-8/,1/
2,2,99796751/29195110/9241858/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,2,114385552/30002133/9310373/,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
6,2,107040983/38884203/8416665/,100/65/55/,0.19601119350692603/0.36619711988077963/0.43779168661229434/,2/
9,2,110858311/40378427/5905331/,494/63/55/,2.1097642170263416E-4/0.46424836303907013/0.5355406605392271/,2/
12,2,106781554/41069813/6154757/,2817/205/55/,3.557424581862217E-22/0.0642497110808936/0.9357502889191064/,2/
2,0,105230289/33377593/9629745/,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
6,0,117554722/34260938/11302710/,58/59/50/,0.3174181786743016/0.31125491444040565/0.37132690688529263/,2/
9,0,169519859/58289575/11517982/,58/201/131/,0.7252890135547935/0.06425383439188392/0.21045715205332255/,0/
12,0,116026201/50528790/11582920/,58/74/699/,0.5673779937985437/0.4326111539318691/1.0852269587270985E-5/,0/
17,0,107632810/53582683/11206547/,58/293/11467/,0.9817119635218128/0.018288036478187338/1.0261450651047879E-84/,0/
