Real_Goal,Time,Cost,Prob,Results
0,202075517,77/78/78/,0.33618839764101893/0.3319058011794905/0.3319058011794905/,0/1/2/
0,202803361,80/89/79/,0.34409480681272636/0.30748220652166947/0.3484229866656042/,0/1/2/
0,224853685,94/86/78/,0.300203875458985/0.33219682893753893/0.3675992956034761/,1/2/
0,238820283,83/80/77/,0.32059813276793836/0.33316902854945396/0.3462328386826077/,0/1/2/
0,231343460,77/127/77/,0.39576501536747005/0.20846996926505984/0.39576501536747005/,0/2/
1,169108664,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,193895460,79/79/80/,0.3347193167102421/0.3347193167102421/0.3305613665795158/,0/1/2/
1,244376766,79/79/87/,0.3442533457435726/0.3442533457435726/0.3114933085128547/,0/1/2/
1,202919079,97/100/86/,0.32248881838300336/0.3115580587634552/0.3659531228535413/,0/2/
1,208493137,91/99/81/,0.3292998465039104/0.2986904484501601/0.3720097050459294/,0/2/
2,198718623,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,195160276,77/77/83/,0.34176804582240483/0.34176804582240483/0.31646390835519045/,0/1/2/
2,181310841,77/113/86/,0.3966150392449922/0.24999168923869414/0.3533932715163136/,0/2/
2,199345930,77/85/79/,0.347559498818257/0.3136795010676216/0.3387610001141214/,0/1/2/
2,205664482,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
0,192186435,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
0,193907002,77/85/82/,0.3520594837290012/0.3177408287724132/0.3301996874985855/,0/1/2/
0,200852188,85/89/90/,0.34505701990431287/0.3293753726080835/0.3255676074876036/,0/1/2/
0,213353340,84/107/81/,0.3580792339004977/0.2704984804683636/0.3714222856311387/,0/2/
0,220730029,117/99/78/,0.2567912410793625/0.32250271814391446/0.420706040776723/,2/
1,203915015,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,237263885,78/98/78/,0.3601864170408687/0.27962716591826264/0.3601864170408687/,0/2/
1,328985424,220/102/277/,0.2118905471924486/0.6662739501212909/0.1218355026862604/,1/
1,336909542,84/142/85/,0.4010056288654772/0.20267881280434055/0.3963155583301823/,0/2/
1,387632994,295/531/113/,0.16496620974115364/0.020812738453168226/0.8142210518056782/,2/
2,169475939,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,188437257,77/80/82/,0.344806480104484/0.3317964883142619/0.3233970315812542/,0/1/2/
2,222440132,77/77/154/,0.4214738912311708/0.4214738912311708/0.15705221753765844/,0/1/
2,213865796,77/77/154/,0.4214738912311708/0.4214738912311708/0.15705221753765844/,0/1/
2,222132107,77/365/154/,0.7155426938139884/0.017827346076051825/0.2666299601099599/,0/
0,163687417,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,180675720,79/78/80/,0.33331553063177527/0.33756153129088473/0.32912293807734005/,0/1/2/
0,202397126,79/88/81/,0.3485647703721397/0.31147655410003294/0.33995867552782755/,0/1/2/
0,194200238,97/86/79/,0.29414148790433325/0.3374984450185957/0.3683600670770711/,1/2/
0,207313079,97/81/78/,0.2860091351277349/0.350217852612229/0.36377301226003605/,1/2/
1,167506392,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,218529300,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,416145537,78/82/78/,0.3389109523053514/0.3221780953892971/0.3389109523053514/,0/1/2/
1,219364848,82/91/89/,0.35506830876360357/0.31858090292434654/0.3263507883120499/,0/1/2/
1,205111152,114/118/84/,0.2960963810573171/0.28248520837320107/0.42141841056948187/,2/
2,170208603,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
2,187178401,77/79/85/,0.347559498818257/0.3387610001141214/0.3136795010676216/,0/1/2/
2,191201402,77/78/85/,0.3460469106694025/0.3416387297638316/0.3123143595667658/,0/1/2/
2,189912606,77/77/85/,0.34452816817701337/0.34452816817701337/0.31094366364597337/,0/1/2/
2,191523069,77/103/178/,0.5023953476005409/0.35998199684239/0.13762265555706918/,0/
0,200713392,78/77/77/,0.33049044397356037/0.3347547780132198/0.3347547780132198/,0/1/2/
0,200825995,85/85/79/,0.3248985182605344/0.3248985182605344/0.35020296347893104/,0/1/2/
0,203917132,106/85/84/,0.27966867960596936/0.3580470631023409/0.36228425729168967/,1/2/
0,217821040,103/80/79/,0.27152151481386394/0.36196277696826373/0.36651570821787244/,1/2/
0,222505292,130/77/77/,0.20219455935208114/0.3989027203239594/0.3989027203239594/,1/2/
1,205169814,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,203760031,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,241782677,131/83/77/,0.20624127891135646/0.38162229222155825/0.4121364288670851/,1/2/
1,264437983,131/131/91/,0.2821171124654108/0.2821171124654108/0.4357657750691784/,2/
1,236061847,146/241/79/,0.27658186386866557/0.0843527026179309/0.6390654335134035/,2/
2,160348329,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,187535420,83/79/77/,0.3192258142097464/0.3360233948846477/0.3447507909056059/,0/1/2/
2,222721714,81/113/84/,0.3786491053189549/0.2563044588719354/0.36504643580910956/,0/2/
2,194338476,101/97/81/,0.3006425041449934/0.3156715747842276/0.383685921070779/,2/
2,205657531,82/80/204/,0.44508620536434756/0.45621278814919036/0.09870100648646207/,0/1/
0,183543399,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,210070841,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,223282735,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,268653266,467/275/419/,0.2383808209200253/0.4779574236713483/0.2836617554086262/,1/
0,287229297,348/736/83/,0.04088756120047611/4.032406578518279E-4/0.9587091981416721/,2/
1,164797285,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,183431878,79/79/78/,0.3319239089225874/0.3319239089225874/0.3361521821548252/,0/1/2/
1,190457361,79/79/77/,0.33047226042927/0.33047226042927/0.3390554791414599/,0/1/2/
1,199743155,96/88/77/,0.2955231957732862/0.3274421613862195/0.3770346428404943/,1/2/
1,205172313,87/106/77/,0.34239594959409136/0.2683730717197834/0.3892309786861251/,0/2/
2,169849019,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,196975937,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,230605609,113/77/77/,0.23963427237813545/0.38018286381093225/0.38018286381093225/,1/2/
2,247720544,77/77/648/,0.49983459905107813/0.49983459905107813/3.308018978437847E-4/,0/1/
2,280360675,386/1134/681/,0.6205998824652597/0.08982560112511243/0.289574516409628/,0/
0,179550240,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,175982138,79/77/78/,0.32906907716931894/0.33761585158570684/0.3333150712449743/,0/1/2/
0,173892646,79/80/85/,0.3430153666150305/0.33875436129727426/0.31823027208769517/,0/1/2/
0,207167887,79/88/84/,0.35298140680942136/0.3154232487035307/0.331595344487048/,0/1/2/
0,186916257,79/83/80/,0.3402741055946053/0.32367874163725163/0.3360471527681431/,0/1/2/
1,169257841,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,196881001,85/90/85/,0.3397295016827995/0.3205409966344011/0.3397295016827995/,0/1/2/
1,226838669,81/100/81/,0.3580151048057035/0.28396979038859316/0.3580151048057035/,0/2/
1,227729807,171/128/78/,0.16753976891022976/0.288739398751655/0.5437208323381153/,2/
1,218138306,86/81/77/,0.3136264326993216/0.33438905050558076/0.35198451679509757/,0/1/2/
2,186939062,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,170793199,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,179744410,78/78/77/,0.3319058011794905/0.3319058011794905/0.33618839764101893/,0/1/2/
2,182353704,77/84/83/,0.352096976090678/0.32187492814169993/0.32602809576762193/,0/1/2/
2,180297644,77/83/83/,0.35064070646027684/0.3246796467698616/0.3246796467698616/,0/1/2/
0,153644933,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,170331425,78/79/78/,0.3347368234045793/0.33052635319084134/0.3347368234045793/,0/1/2/
0,180455870,86/79/77/,0.31092605610951174/0.3401200732719528/0.3489538706185354/,0/1/2/
0,173047407,89/91/77/,0.3183703154183746/0.31031074341079573/0.3713189411708296/,2/
0,184974086,99/101/77/,0.30298149325429885/0.2953114906077333/0.4017070161379678/,2/
1,185523096,81/82/77/,0.32896023855382855/0.3247697192988526/0.34627004214731877/,0/1/2/
1,233234564,117/235/77/,0.34598693154223015/0.07621669181655404/0.5777963766412157/,2/
1,266907077,241/285/77/,0.10250096071097684/0.05830976687638206/0.8391892724126412/,2/
1,307367451,854/557/1386/,0.3238132932426005/0.5513805139762378/0.12480619278116188/,1/
1,368831653,1693/147/609/,2.7837812990567165E-5/0.9577491949063507/0.04222296728065879/,1/
2,174779735,78/78/77/,0.3319058011794905/0.3319058011794905/0.33618839764101893/,0/1/2/
2,201249796,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,223702650,77/125/122/,0.475724542425288/0.2570972399650837/0.26717821760962834/,0/
2,245323701,108/103/108/,0.32794934909299345/0.34410130181401316/0.32794934909299345/,0/1/2/
2,265702638,78/108/140/,0.46723712802313677/0.31960634356331924/0.2131565284135439/,0/
0,206569117,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,202341604,78/82/92/,0.35865084390955093/0.340943380597614/0.300405775492835/,0/1/
0,204178616,78/80/84/,0.34460603380297933/0.3359913373146805/0.3194026288823402/,0/1/2/
0,207887769,78/77/79/,0.3333150712449742/0.3376158515857067/0.3290690771693189/,0/1/2/
0,253581774,182/156/77/,0.1603018754017884/0.22371928907533803/0.6159788355228735/,2/
1,175275334,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,188143663,80/78/80/,0.33050862608222903/0.33898274783554205/0.33050862608222903/,0/1/2/
1,188351239,89/78/79/,0.3044748671004925/0.3499635659624326/0.3455615669370748/,0/1/2/
1,209185935,84/85/78/,0.3261228128314199/0.32202069351427653/0.3518564936543035/,0/1/2/
1,216874263,78/131/77/,0.3968600574314285/0.20115918079380826/0.4019807617747632/,0/2/
2,163377461,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,185089156,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,186204256,80/80/80/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,186408331,79/79/98/,0.35860328297511035/0.35860328297511035/0.28279343404977925/,0/1/
2,198811613,78/78/90/,0.3497634392623324/0.3497634392623324/0.3004731214753352/,0/1/
0,170803674,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
0,192817029,77/85/80/,0.349065846409263/0.31503901033837317/0.3358951432523638/,0/1/2/
0,212097369,85/85/87/,0.33590722035270637/0.33590722035270637/0.3281855592945873/,0/1/2/
0,221977777,85/85/93/,0.34350422905793804/0.34350422905793804/0.31299154188412404/,0/1/2/
0,240067935,207/79/81/,0.09273191334113579/0.4593041735548436/0.4479639131040206/,1/2/
1,176698068,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,176819920,79/79/78/,0.3319239089225874/0.3319239089225874/0.3361521821548252/,0/1/2/
1,186523860,81/79/78/,0.32633405792274556/0.33470114525680505/0.3389647968204493/,0/1/2/
1,185323731,95/79/78/,0.2886339275221759/0.35343190783995276/0.3579341646378713/,1/2/
1,194107972,89/85/103/,0.3451394865056623/0.361571667371302/0.29328884612303574/,0/1/
2,194057726,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,185437299,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,203506654,80/80/81/,0.33470224137571214/0.33470224137571214/0.33059551724857567/,0/1/2/
2,200002380,79/79/86/,0.3429097897010377/0.3429097897010377/0.31418042059792456/,0/1/2/
2,195553698,78/78/89/,0.3484297784174335/0.3484297784174335/0.3031404431651331/,0/1/2/
0,170952670,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,192006507,85/84/85/,0.33202359077475485/0.33595281845049024/0.33202359077475485/,0/1/2/
0,214149719,83/86/85/,0.3399755916059443/0.32804786903800504/0.3319765393560507/,0/1/2/
