Real_Goal,Time,Cost,Prob,Results
0,112146743,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,145993340,54/54/101/,0.41229011339181715/0.41229011339181715/0.1754197732163656/,0/1/
0,130220144,54/54/4701/,0.5/0.5/1.011659618882307E-37/,0/1/
0,135068967,54/54/176083/,0.5/0.5/0.0/,0/1/
0,144200552,54/85/13357918/,0.6372935064540827/0.36270649354591733/0.0/,0/
1,121238160,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,143379028,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,132456282,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,126351676,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,175721185,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,113847557,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,121452679,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,142049320,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,132201882,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,148307136,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,110036134,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,115617186,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,155223895,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,139522838,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,134004849,50/50/6303/,0.5/0.5/2.8252721715344116E-54/,0/1/
1,170957437,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,137455550,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,129452107,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,130760606,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,146130278,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,129224854,50/50/54/,0.34193113375379486/0.34193113375379486/0.31613773249241023/,0/1/2/
2,148388560,55/55/55/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,132099627,55/55/55/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,134201215,55/55/55/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,180127082,147/55/147/,0.13947157732133764/0.7210568453573248/0.13947157732133764/,1/
0,134428452,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,156457018,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,130793261,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,180303114,50/50/82/,0.394640603851286/0.394640603851286/0.21071879229742793/,0/1/
0,148375091,50/50/303072/,0.5/0.5/0.0/,0/1/
1,148304943,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,121823269,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,126854486,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,177256502,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,153426391,50/50/465/,0.4999269009708068/0.4999269009708068/1.461980583864686E-4/,0/1/
2,107946433,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
