Real_Goal,Time,Cost,Prob,Results
0,163584059,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
0,194001998,50/50/54/,0.34193113375379486/0.34193113375379486/0.31613773249241023/,0/1/2/
0,193609317,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
0,190476383,54/65/141/,0.49399019156378554/0.40444496155215476/0.10156484688405978/,0/
0,270271952,54/61/425/,0.5314428934108597/0.4679320160628307/6.250905263095005E-4/,0/
1,214412856,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,246375963,61/61/61/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,209287474,120/53/120/,0.1832114507130195/0.633577098573961/0.1832114507130195/,1/
1,231472008,357/53/53/,0.0017917362565504134/0.4991041318717248/0.4991041318717248/,1/2/
1,216245324,2125/69/80/,9.460293562545908E-14/0.5392050703694037/0.4607949296305017/,1/
2,163165060,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
2,187738229,56/54/53/,0.3231164765746777/0.3353081312490595/0.3415753921762628/,0/1/2/
2,208220501,161/124/54/,0.10043805218389791/0.19681582913812662/0.7027461186779754/,2/
2,221491448,82/74/54/,0.2617565915675068/0.3027385547946141/0.4355048536378792/,2/
2,255689556,279/160/115/,0.12656592977595663/0.3530555554270964/0.520378514796947/,2/
0,191410517,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
0,184008391,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
0,235122522,81/63/100/,0.3259535645536183/0.4318183143739789/0.2422281210724028/,1/
0,278078095,53/68/494/,0.5689094108502198/0.4309290399359043/1.6154921387567228E-4/,0/
0,302166306,53/128/2817/,0.8004148013462675/0.19958519865373256/4.719235280702196E-23/,0/
1,196367717,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,252340842,51/54/51/,0.33968079597085005/0.3206384080582999/0.33968079597085005/,0/1/2/
1,228903538,51/50/57/,0.343783065979183/0.35059043118521654/0.3056265028356004/,0/1/
1,213498258,60/59/66/,0.3422730784819441/0.3480254329212343/0.3097014885968217/,0/1/
1,260379091,57/104/137/,0.5894638725131124/0.26213735065793553/0.14839877682895203/,0/
2,167827273,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,188882365,100/100/50/,0.2143392379333584/0.2143392379333584/0.5713215241332831/,2/
2,220957503,289/289/59/,0.020739858696903493/0.020739858696903493/0.958520282606193/,2/
2,204794510,972/78/71/,1.926880969584746E-6/0.4757126547231467/0.5242854183958838/,1/2/
2,177008132,5758/82/73/,2.2919079321307666E-34/0.4696320185095166/0.5303679814904835/,2/
0,165289666,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,255134126,61/61/53/,0.3164872759462787/0.3164872759462787/0.36702544810744253/,2/
0,225520843,52/52/77/,0.3811060074276174/0.3811060074276174/0.23778798514476518/,0/1/
0,228740479,58/52/176/,0.44887757237723014/0.5026819834149876/0.048440444207782186/,1/
0,205594639,58/60/528/,0.5083840578293777/0.4914395180688933/1.764241017289246E-4/,0/1/
1,205685172,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,209906068,60/100/100/,0.4906487216326648/0.25467563918366753/0.25467563918366753/,0/
1,223906678,110/68/56/,0.17642156433327436/0.36860237486643865/0.454976060800287/,2/
1,228519188,67/56/83/,0.3369141617104868/0.4086302206174428/0.2544556176720704/,1/
1,203350057,67/181/328/,0.8274279158729914/0.15475626640768952/0.01781581771931922/,0/
2,168886445,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,235873078,289/289/59/,0.020739858696903493/0.020739858696903493/0.958520282606193/,2/
2,207815237,61/77/353/,0.561308004738543/0.4336359107915902/0.005056084469866683/,0/
2,233327489,178/128/84/,0.17174170917223958/0.30927379465107696/0.5189844961766835/,2/
2,229493852,4201/2732/84/,9.221870841606215E-22/2.9542656986574756E-14/0.9999999999999705/,2/
0,221077576,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
0,239415663,70/50/61/,0.27224446834348776/0.4029680611410105/0.3247874705155017/,1/
0,224340662,51/50/53/,0.3354191220955758/0.34206087000915686/0.3225200078952674/,0/1/2/
0,229622633,55/50/62/,0.33616224768331143/0.3707889894126951/0.2930487629039935/,0/1/
0,238503185,69/55/120/,0.37226447600379003/0.4779970489188102/0.14973847507739985/,1/
1,182488429,50/56/56/,0.35996867153415113/0.3200156642329245/0.3200156642329245/,0/
1,261852252,56/52/56/,0.3248448444577082/0.3503103110845835/0.3248448444577082/,0/1/2/
1,209223380,100/79/100/,0.303014099289961/0.3939718014200779/0.303014099289961/,1/
1,251411226,63/191/277/,0.8542338726251733/0.11560798310203636/0.030158144272790365/,0/
1,230688531,63/72/82/,0.38285543427087526/0.3326305656665858/0.2845140000625389/,0/
2,226582847,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,193077039,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,178518136,163/53/50/,0.05315847673730062/0.4595006352291857/0.4873408880335138/,1/2/
2,194889656,528/58/55/,1.1019501114998434E-4/0.486556722916906/0.5133330820719441/,1/2/
2,234484899,63/75/55/,0.3377599314670535/0.2726120349143829/0.3896280336185635/,2/
0,218761037,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,217013024,54/54/53/,0.33126940901022034/0.33126940901022034/0.3374611819795593/,0/1/2/
0,224999090,90/54/53/,0.20276271187140305/0.39492783616849275/0.4023094519601041/,1/2/
0,278531259,65/68/86/,0.37271244772713286/0.35615023820512326/0.27113731406774405/,0/1/
0,201607910,82/71/74/,0.3046379499267091/0.3549233319677645/0.34043871810552645/,1/2/
1,166231854,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,192175812,61/61/51/,0.3113282968833409/0.3113282968833409/0.3773434062333182/,2/
1,255541350,120/62/72/,0.1768898033840138/0.4441497940736559/0.37896040254233027/,1/
1,246814797,357/53/55/,0.0018248522229909149/0.5083288800013414/0.4898462677756678/,1/2/
1,181313908,72/53/71/,0.29066481105649145/0.41323754747380476/0.2960976414697038/,1/
2,167947559,55/100/100/,0.527578044921821/0.2362109775390895/0.2362109775390895/,0/
2,300933870,155/239/80/,0.257817815212858/0.09139731995388592/0.6507848648332561/,2/
2,203985249,126/5547/248/,0.7232479081273055/2.0960909744445668E-19/0.27675209187269434/,0/
2,299443202,291/450/276/,0.3818384731478519/0.21507578487369197/0.4030857419784561/,0/2/
2,288441013,1948/587/226/,4.214287071197235E-4/0.16926915089823366/0.8303094203946466/,2/
0,211838736,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,166377201,54/50/70/,0.3555797392470581/0.3845911793637106/0.2598290813892313/,0/1/
0,246135583,50/54/163/,0.49172811546633877/0.4546348550355402/0.053637029498120964/,0/1/
0,268363857,60/60/528/,0.49988362098166744/0.49988362098166744/2.327580366650775E-4/,0/1/
0,259067173,57/60/87/,0.39281098458613145/0.3730096919142559/0.23417932349961265/,0/1/
1,247439473,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,235653095,51/54/50/,0.33753286282920664/0.31825067153011033/0.34421646564068303/,0/1/2/
1,232720286,72/57/50/,0.2576449236904848/0.3457444848985488/0.3966105914109663/,2/
1,239204926,166/61/50/,0.05387961144767501/0.4222407586536736/0.5238796298986514/,2/
1,211598389,99/81/57/,0.22589439829888977/0.3080963175768376/0.46600928412427256/,2/
2,202420725,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
2,239471123,100/50/50/,0.15795286358054914/0.42102356820972536/0.42102356820972536/,1/2/
2,202317282,289/50/74/,0.005643689880708653/0.612049153561565/0.38230715655772635/,1/
2,180846981,72/65/56/,0.28945865242020147/0.327281114922323/0.38326023265747555/,2/
2,204571896,225/65/56/,0.027061068613753323/0.4481435729250972/0.5247953584611494/,2/
0,153146624,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,191649944,56/61/61/,0.35310286389472995/0.32344856805263494/0.32344856805263494/,0/1/2/
0,223185768,51/51/120/,0.44144413685119543/0.44144413685119543/0.1171117262976092/,0/1/
0,171453337,51/57/357/,0.5280373879319791/0.4704936564166534/0.0014689556513676353/,0/
0,219362113,51/65/1177/,0.5669040500688705/0.43309594970758514/2.2354433217701818E-10/,0/
1,177593983,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,200634579,70/54/50/,0.2598290813892312/0.35557973924705805/0.38459117936371057/,1/2/
1,240216543,163/50/57/,0.055067227827768975/0.5048397425635396/0.44009302960869146/,1/
1,235786170,66/56/60/,0.3027759942517495/0.360838985644782/0.33638502010346855/,1/2/
1,205014682,83/64/70/,0.28082647122360277/0.3761713022595013/0.34300222651689594/,1/2/
2,232458005,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,236242178,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,182255821,60/53/50/,0.29728788683214813/0.34102503370491094/0.3616870794629408/,1/2/
2,209531600,62/62/50/,0.306252369787455/0.306252369787455/0.38749526042509/,2/
2,235038987,181/89/50/,0.04969852524481675/0.30183992529195375/0.6484615494632294/,2/
0,166395436,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
0,185466870,80/52/100/,0.2957075097113167/0.5015346560070258/0.20275783428165756/,1/
0,187640941,72/62/289/,0.4537320087431675/0.531783734912498/0.014484256344334595/,1/
0,261084235,59/127/972/,0.7564533882852791/0.24354642539114688/1.8632357404221608E-7/,0/
0,261357121,59/68/105/,0.4300581401543221/0.3701544715573505/0.19978738828832746/,0/
1,185366268,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,241562914,70/50/50/,0.25250358864793193/0.37374820567603406/0.37374820567603406/,1/2/
1,225397406,52/56/56/,0.3503103110845835/0.3248448444577082/0.3248448444577082/,0/1/2/
1,314450387,56/54/55/,0.3272914251217217/0.3394119694553856/0.3332966054228927/,0/1/2/
1,317724106,63/54/55/,0.29990842773107285/0.3532279328919056/0.34686363937702147/,1/2/
2,222810272,51/53/51/,0.3375790977878761/0.3248418044242478/0.3375790977878761/,0/1/2/
2,229698625,58/53/93/,0.38167529050105625/0.41870340899882375/0.19962130050012/,0/1/
2,209483033,71/131/437/,0.6940600995019542/0.3016372758397938/0.004302624658252151/,0/
2,237718329,144/665/2510/,0.9732237957565751/0.026776124494501556/7.974892327412692E-8/,0/
2,227877707,236/96/93/,0.09987685144567379/0.442880350177295/0.4572427983770312/,1/2/
0,179913723,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,243954371,61/50/51/,0.2892400895507101/0.3588639608095316/0.35189594963975834/,1/2/
0,241870635,51/57/72/,0.39081273967019237/0.34822328695657623/0.26096397337323146/,0/
0,245142570,57/55/61/,0.3369927963958168/0.34924575385166207/0.31376144975252096/,0/1/
0,252648823,74/55/61/,0.2728331084192515/0.38304251876228945/0.3441243728184591/,1/
1,198935029,53/53/51/,0.32903279161733134/0.32903279161733134/0.3419344167653373/,0/1/2/
1,216888911,80/80/68/,0.31348433225821565/0.31348433225821565/0.37303133548356876/,2/
1,208675426,57/201/54/,0.469705006387927/0.03425810001333358/0.4960368935987394/,0/2/
1,202066013,72/63/54/,0.28050760778666495/0.3303779197154961/0.38911447249783887/,2/
1,221738388,277/195/73/,0.05056300294797373/0.1531362809250187/0.7963007161270076/,2/
2,189337906,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,183460730,70/50/51/,0.2543494064782842/0.3764803296264025/0.3691702638953133/,1/2/
2,234154123,63/53/72/,0.3278771295956177/0.3945808721921004/0.27754199821228187/,1/
2,189558957,66/72/55/,0.32098135997779803/0.2883687940067148/0.3906498460154872/,2/
2,211174097,93/89/84/,0.316468240086645/0.3317168397909056/0.3518149201224494/,1/2/
0,217974199,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,213838902,70/70/54/,0.29961263311727326/0.29961263311727326/0.4007747337654535/,2/
0,233050920,51/52/65/,0.36430935593909897/0.3573703419239967/0.2783203021369043/,0/1/
0,218638225,60/79/53/,0.35189076277869646/0.24751444465989184/0.4005947925614118/,2/
0,244742252,57/63/90/,0.40521373436719965/0.36539040737964934/0.22939585825315098/,0/1/
1,203896881,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,176255495,54/54/70/,0.3639561637015516/0.3639561637015516/0.27208767259689687/,0/1/
1,224276236,90/53/163/,0.3083659815652046/0.6118410426731613/0.07979297576163404/,1/
1,185183056,65/59/68/,0.32718226930869276/0.3615923289499618/0.31122540174134544/,0/1/
1,222417953,73/101/68/,0.3647506137532749/0.24308635938496523/0.39216302686175986/,0/2/
2,168773660,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,211642379,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,287895407,70/70/54/,0.29961263311727326/0.29961263311727326/0.4007747337654535/,2/
2,246517917,163/53/53/,0.0612155753051461/0.4693922123474269/0.4693922123474269/,1/2/
2,207488415,65/53/63/,0.3042676282125971/0.37998428336712625/0.31574808842027663/,1/
0,167260889,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,183941890,61/50/70/,0.3247874705155017/0.4029680611410105/0.27224446834348776/,1/
0,179372327,50/50/100/,0.4210235682097254/0.4210235682097254/0.15795286358054916/,0/1/
0,177327896,50/50/289/,0.497705335796265/0.497705335796265/0.0045893284074700405/,0/1/
0,178527409,50/57/972/,0.5342599533352057/0.465740039141819/7.522975289582905E-9/,0/
1,161080632,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,231353454,61/54/61/,0.3189053414245498/0.3621893171509004/0.3189053414245498/,1/
1,196161789,120/90/120/,0.2949409101457381/0.4101181797085239/0.2949409101457381/,1/
1,277122316,56/61/55/,0.3409941346850587/0.3118678568989926/0.34713800841594883/,0/2/
1,250142358,161/178/55/,0.11938181184606357/0.08812492686102602/0.7924932612929103/,2/
2,185781470,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,243949133,50/51/54/,0.34421646564068303/0.33753286282920664/0.31825067153011033/,0/1/2/
2,203456104,70/72/90/,0.366739449779843/0.35655290705695547/0.2767076431632015/,0/1/
2,281625370,161/60/62/,0.08845670975967002/0.46324264218132943/0.4483006480590006/,1/2/
2,231814137,110/69/62/,0.19765132074187017/0.37890977753265287/0.42343890172547693/,2/
0,259026607,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
0,227241450,51/51/100/,0.4184577660140189/0.4184577660140189/0.16308446797196222/,0/1/
0,190888770,77/77/289/,0.48402475783029497/0.48402475783029497/0.03195048433940995/,0/1/
0,271314393,66/66/71/,0.3415195893247607/0.3415195893247607/0.31696082135047865/,0/1/2/
0,246845152,104/75/81/,0.26191647753809977/0.3836016376970066/0.3544818847648935/,1/2/
1,142426580,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,190143323,61/56/56/,0.3141331700928854/0.3429334149535572/0.3429334149535572/,0/1/2/
1,160710329,50/93/93/,0.5374273778341173/0.23128631108294137/0.23128631108294137/,0/
