delta,lamb,phi,theta,scenario,policy,model
1.166129912332091,3.5700628735108713,55,0.9912531571283227,0,None,pmgr
2.422169865466131,2.6486218073325416,42,0.6694834203455788,1,None,pmgr
2.535574422872406,2.2297948174774502,14,0.7557424321513062,2,None,pmgr
4.098863892920325,4.126765501602199,61,0.6291372572821443,3,None,pmgr
2.1364710482898492,3.7634618475766892,97,0.7932341307882869,4,None,pmgr
4.688462033405714,4.1888331099922125,80,0.6083927570341116,5,None,pmgr
2.7581558658178134,4.074088938191112,25,0.842147302514489,6,None,pmgr
4.308541175440437,4.226198859629887,50,0.8254863137541193,7,None,pmgr
4.364141556645591,2.0646370827103127,30,0.7862664491752845,8,None,pmgr
4.2514790837068235,3.283911244818314,33,0.6872891302470818,9,None,pmgr
3.3599857631901138,2.5832389921341923,2,0.9746781811995955,10,None,pmgr
3.256593592145119,1.530944132856981,15,0.6905601844638759,11,None,pmgr
1.0515793516766667,4.101965426018175,82,0.6236436433538016,12,None,pmgr
2.5886357020161936,2.8223711438872634,67,0.7398700312797315,13,None,pmgr
4.109509714290812,2.1857159876299126,78,0.6265432432342628,14,None,pmgr
2.976477655170864,1.2203059056342211,9,0.6666397973274376,15,None,pmgr
0.49428986321662294,4.26501987331947,98,0.7764589545435628,16,None,pmgr
2.384202883673108,2.9683420047929308,49,0.8134258662634913,17,None,pmgr
1.1334914993870897,3.727307447666317,56,0.8699066342153562,18,None,pmgr
3.53944562666203,3.652306943820611,68,0.8014276073870711,19,None,pmgr
0.11429986611201104,4.371524290292518,52,0.7499737086860291,20,None,pmgr
4.8858610315461775,1.8322686174382303,69,0.9814397517103228,21,None,pmgr
2.6354784948547136,3.9135786842042903,4,0.6527097392912181,22,None,pmgr
3.105063273334089,1.6469854354725397,71,0.6724101237829258,23,None,pmgr
0.8874612052979529,4.89650174486035,96,0.8984940569547124,24,None,pmgr
4.424678186641965,4.651575296395075,24,0.9777467082799626,25,None,pmgr
0.1810585130150006,2.333398910803924,8,0.9693005738441587,26,None,pmgr
0.5499915758819752,1.5626010798745908,3,0.9388859608627849,27,None,pmgr
3.8325456065531274,1.319617909394954,93,0.6950243300176158,28,None,pmgr
2.171202849287111,2.2710032383246808,32,0.8652760705218449,29,None,pmgr
2.6968892223064307,2.8794520083723683,10,0.8304779464382488,30,None,pmgr
4.590711314955333,1.1273602867638455,8,0.9561440116493927,31,None,pmgr
1.9505358796520158,2.42578727497152,71,0.8871501493367451,32,None,pmgr
3.415868707326308,1.8875447169723545,98,0.7051100734923934,33,None,pmgr
3.2420742414059522,2.918972204564394,27,0.7721085095432313,34,None,pmgr
1.4264728401677087,3.4949765180304557,1,0.7092611431841149,35,None,pmgr
1.7651202572174285,1.6075340461058203,19,0.7635988256568849,36,None,pmgr
1.315120558371556,3.1064794522358796,46,0.8078754485105277,37,None,pmgr
2.0211072023946093,1.3772691315525931,89,0.8902203857342303,38,None,pmgr
0.29444087282627474,4.444743167814313,77,0.7699722240428726,39,None,pmgr
1.8527783291608981,2.477890103802248,47,0.9488044169955028,40,None,pmgr
2.266815972957293,4.5534240824145105,93,0.7649245305431157,41,None,pmgr
3.8576093371241553,2.7297910439072526,23,0.9971843295288642,42,None,pmgr
2.811613701721151,1.0263871242449703,91,0.8360109147915205,43,None,pmgr
1.365446555322483,3.226936364128845,57,0.9675190992466982,44,None,pmgr
1.8228998563777932,4.688880174431089,82,0.6482047344720921,45,None,pmgr
3.960290347562829,2.0935427792107077,54,0.9103152685086108,46,None,pmgr
0.7661292006818748,1.9719884229760554,42,0.6417089704161018,47,None,pmgr
3.790162386777559,2.7645047919259635,22,0.8582514178462082,48,None,pmgr
1.2123048974733606,2.9336745144474,100,0.7891929694352505,49,None,pmgr
4.219227853794008,3.933052335936308,11,0.6580225776623289,50,None,pmgr
0.6508654925285368,1.4769735796935899,73,0.8525708147624218,51,None,pmgr
2.4939872335085354,2.1481464071245893,64,0.8226429446307544,52,None,pmgr
4.988481308771498,4.817775334246852,37,0.9955294631579662,53,None,pmgr
3.16612571189125,3.692542730591388,62,0.6387125913244971,54,None,pmgr
0.23385338413078174,4.337711155436861,12,0.7127767762098683,55,None,pmgr
4.705539153321715,3.0513485055537,32,0.9453690812385722,56,None,pmgr
0.3342824271603686,2.0060914284185576,63,0.8486162251717672,57,None,pmgr
3.4952783267597463,3.99088358524081,26,0.9543071678016238,58,None,pmgr
0.8376852301599897,1.187873747928797,0,0.9238229323637135,59,None,pmgr
4.7933223325328775,3.4791907326852334,38,0.9297075166138818,60,None,pmgr
1.7015971739286686,3.2503366549716044,86,0.8198832721483421,61,None,pmgr
3.048178734856318,1.9325887738447243,81,0.6985512270407057,62,None,pmgr
0.40034127373527617,4.763731591735121,69,0.7443770846494314,63,None,pmgr
4.921676496471236,4.608786012223132,59,0.7265528453262756,64,None,pmgr
1.9330782558228734,2.7106553453070292,73,0.6064472515747734,65,None,pmgr
4.837314845065085,3.1457140346313377,35,0.8805005723957618,66,None,pmgr
0.9813961635080936,4.03715988356836,18,0.6323167687886248,67,None,pmgr
4.198787694578229,2.497518502779728,5,0.8767651347587918,68,None,pmgr
4.507965113256718,4.508824809694498,76,0.6809737042285943,69,None,pmgr
1.2919519738006746,1.7750470631985977,56,0.9151416733324929,70,None,pmgr
0.6128099423532638,4.8719892148436355,44,0.612745332257755,71,None,pmgr
0.5793851891610043,4.985095269703082,16,0.6444549091203332,72,None,pmgr
3.321135496249903,3.0152165009650393,41,0.9275538010476894,73,None,pmgr
4.628872090036673,3.8328053754492495,64,0.844655918930506,74,None,pmgr
4.031839187706351,3.3697036483942435,75,0.6624796348938297,75,None,pmgr
3.9128024551422684,3.605707638689299,34,0.735577839870095,76,None,pmgr
3.089931720285966,1.748345793684281,51,0.7963556480787737,77,None,pmgr
3.6494786496139273,4.922660994725737,29,0.9180790484148871,78,None,pmgr
0.7162051288787648,1.0443159527471304,79,0.7181486548447922,79,None,pmgr
1.5376899259053178,4.5888851019624965,6,0.8731273785322079,80,None,pmgr
3.5945114910003246,2.633722737115563,59,0.894539895940065,81,None,pmgr
1.6083085963759576,3.3283559899353263,49,0.9846320992209786,82,None,pmgr
0.06329211009007704,2.28541249961272,46,0.835021907241671,83,None,pmgr
2.9143146870167587,1.4293707575214991,21,0.7028412976120157,84,None,pmgr
1.4664661969908053,1.487615279603455,85,0.7826929036047182,85,None,pmgr
4.471850970314127,2.5362985070121544,30,0.676033127329956,86,None,pmgr
2.7244996108034343,1.8441349237346103,88,0.7408447145577034,87,None,pmgr
3.738069427862334,3.428039082535105,13,0.8623312294086101,88,None,pmgr
0.008728563343629859,3.1625762601673886,90,0.9638750103266648,89,None,pmgr
3.680462640749785,3.850199273227715,95,0.9343408015295778,90,None,pmgr
