Subject,Loc,Iteration,f11,f7,f17,f15,f22,f27,f30,f14,f25,f9,f3,f8,f24,f6,f26
10,0,27,1.54E-05,3.72E-05,26,26,45,9.057075924,-0.372261852,3.24E-05,74,6.55E-06,0.002544311,75,54,0.121301538,13.31728715
10,0,27,1.70E-05,3.97E-05,27,29,46,10.55266625,1.375927982,3.52E-05,74,6.49E-06,0.004726894,66,59,0.210557727,37.9197471
10,0,27,1.27E-05,2.85E-05,30,34,46,4.416704571,1.653286092,2.55E-05,81,5.21E-06,0.008218956,75,60,0.391712037,72.24951183
10,0,27,1.65E-05,2.22E-05,29,28,45,1.372325318,-1.780551234,2.42E-05,89,4.85E-06,0.010153689,71,53,0.327711654,94.58966575
10,0,27,2.19E-05,1.74E-05,33,27,55,5.526959903,1.363670147,2.36E-05,79,5.68E-06,0.009165,67,58,0.311548058,85.31795689
10,0,27,2.02E-05,1.53E-05,33,29,56,8.869853729,5.87820456,2.70E-05,81,7.15E-06,0.00616715,56,65,0.734098175,54.54500663
10,0,27,1.86E-05,1.62E-05,32,29,51,4.916643199,4.296408971,2.74E-05,80,6.82E-06,0.003154906,61,61,1.227944362,26.71740012
10,0,37,1.23E-05,2.91E-05,28,31,42,12.86040763,1.466985286,3.23E-05,88,5.93E-06,0.000643317,61,57,0.103164637,14.85478171
10,0,37,1.73E-05,4.00E-05,27,23,37,13.45204634,2.94734496,4.16E-05,84,7.92E-06,0.001949978,54,53,0.336630569,47.81708087
10,0,37,2.00E-05,2.91E-05,31,21,48,9.480014018,2.844191052,3.38E-05,86,6.46E-06,0.003938317,74,54,0.650707186,88.84585816
10,0,37,1.77E-05,1.55E-05,31,24,53,5.921969191,0.703060318,2.40E-05,85,6.42E-06,0.004004522,74,59,0.840047626,100.0921097
10,0,37,2.12E-05,1.91E-05,30,28,50,9.338158669,-2.738999893,2.97E-05,81,8.20E-06,0.001352578,65,58,0.719637493,78.61126394
10,0,37,2.37E-05,2.71E-05,28,29,44,10.50499986,-3.257945583,3.79E-05,89,9.36E-06,-0.002525778,59,56,0.386522427,47.19014309
10,0,37,2.39E-05,2.45E-05,27,27,41,4.62994708,-1.58530925,3.68E-05,84,9.25E-06,-0.006264439,70,59,0.125135781,25.33029669
10,0,37,2.78E-05,1.86E-05,29,27,48,2.705774727,0.012589784,3.28E-05,76,7.88E-06,-0.009334139,59,56,0.066689577,15.61611629
10,0,37,3.36E-05,2.11E-05,31,26,52,3.092316419,0.708456479,3.55E-05,70,8.68E-06,-0.011775506,47,52,0.130913854,9.318576686
10,0,13,1.27E-05,3.95E-05,30,23,38,3.579500139,0.468989332,3.51E-05,80,5.72E-06,0.003857011,77,59,0.102293488,13.98192402
10,0,13,1.37E-05,4.68E-05,28,23,38,2.179144592,3.372788313,3.82E-05,82,6.16E-06,0.005604222,74,58,0.291038466,33.99892124
10,0,13,1.52E-05,3.63E-05,32,28,43,0.400167752,4.199877847,3.44E-05,81,5.66E-06,0.008117217,76,64,0.707040681,65.10001105
