Real_Goal,Time,Cost,Prob,Results
1,0,193183870,50/50/,0.5/0.5/,0/1/
3,0,120729807,61/61/,0.5/0.5/,0/1/
4,0,105543133,50/80/,0.6429601378600831/0.3570398621399169/,0/
6,0,106581435,59/72/,0.553955754719607/0.44604424528039294/,0/
8,0,105300943,56/151/,0.8411308951190848/0.15886910488091519/,0/
1,1,125766377,50/50/,0.5/0.5/,0/1/
3,1,129106850,61/54/,0.46822469888628865/0.5317753011137113/,1/
4,1,123178765,80/53/,0.37754066879814546/0.6224593312018546/,1/
6,1,117953510,201/53/,0.06061171333882084/0.9393882866611791/,1/
8,1,123156868,648/53/,1.6394987441882437E-5/0.9999836050125581/,1/
